<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHAPNA,d,20110608,000000,525,530,511,530,283658
SHAPNA,d,20110611,000000,516,520,516,516,203383
SHAPNA,d,20110612,000000,516,529,516,529,362194
SHAPNA,d,20110613,000000,522,522,514,514,197885
SHAPNA,d,20110614,000000,511,511,501,501,1039734
SHAPNA,d,20110615,000000,501,501,493,493,539272
SHAPNA,d,20110618,000000,489,516,489,508,479710
SHAPNA,d,20110619,000000,496,511,496,506,50728
SHAPNA,d,20110620,000000,502,511,502,511,136162
SHAPNA,d,20110621,000000,511,514,502,511,102756
SHAPNA,d,20110622,000000,509,511,504,511,669990
SHAPNA,d,20110625,000000,511,511,504,504,670385
SHAPNA,d,20110712,000000,516,529,489,489,2633747
SHAPNA,d,20110713,000000,492,492,473,482,1401803
SHAPNA,d,20110716,000000,474,480,468,473,29057
SHAPNA,d,20110718,000000,469,480,469,469,191613
SHAPNA,d,20110725,000000,461,461,455,455,209674
SHAPNA,d,20110726,000000,461,466,455,460,171662
SHAPNA,d,20110727,000000,465,465,445,450,152403
SHAPNA,d,20110730,000000,456,456,441,441,1416753
SHAPNA,d,20110731,000000,438,445,426,426,1112686
SHAPNA,d,20110801,000000,439,450,439,445,126843
SHAPNA,d,20110802,000000,446,446,441,446,63468
SHAPNA,d,20110803,000000,441,452,441,452,39552
SHAPNA,d,20110806,000000,452,452,440,445,223190
SHAPNA,d,20110807,000000,439,449,432,449,116050
SHAPNA,d,20110808,000000,450,453,436,442,148430
SHAPNA,d,20110813,000000,453,453,434,435,52914
SHAPNA,d,20110814,000000,436,439,434,435,54374
SHAPNA,d,20110815,000000,437,437,431,432,250538
SHAPNA,d,20110816,000000,431,431,427,427,272737
SHAPNA,d,20110817,000000,429,429,428,428,211307
SHAPNA,d,20110820,000000,429,431,425,425,145277
SHAPNA,d,20110821,000000,431,431,426,429,168906
SHAPNA,d,20110823,000000,432,439,432,439,26841
SHAPNA,d,20110824,000000,445,451,439,451,4251758
SHAPNA,d,20110827,000000,453,453,435,439,104811
SHAPNA,d,20110828,000000,437,439,435,435,28926
SHAPNA,d,20110829,000000,435,445,435,445,40952
SHAPNA,d,20110830,000000,437,450,437,439,34604
SHAPNA,d,20110903,000000,439,441,439,439,116400
SHAPNA,d,20110904,000000,440,444,440,444,129062
SHAPNA,d,20110905,000000,447,458,447,457,148746
SHAPNA,d,20110906,000000,457,459,448,448,93010
SHAPNA,d,20110907,000000,455,455,440,446,269714
SHAPNA,d,20110910,000000,455,455,444,445,119573
SHAPNA,d,20110911,000000,457,457,445,448,53855
SHAPNA,d,20110912,000000,450,452,447,450,57366
SHAPNA,d,20110913,000000,457,457,445,445,172423
SHAPNA,d,20110914,000000,445,449,431,434,239473
SHAPNA,d,20110917,000000,440,447,437,437,106943
SHAPNA,d,20110918,000000,437,446,436,440,98300
SHAPNA,d,20110919,000000,445,445,440,445,213775
SHAPNA,d,20110920,000000,439,452,439,443,154105
SHAPNA,d,20110921,000000,451,451,441,442,44326
SHAPNA,d,20110925,000000,439,448,439,447,39152
SHAPNA,d,20110926,000000,441,441,434,436,36935
SHAPNA,d,20110927,000000,439,442,438,440,98941
SHAPNA,d,20110928,000000,441,448,439,446,77662
SHAPNA,d,20111001,000000,448,461,447,461,916757
SHAPNA,d,20111002,000000,467,468,456,459,284864
SHAPNA,d,20111003,000000,461,464,456,459,243549
SHAPNA,d,20111004,000000,459,459,448,448,499038
SHAPNA,d,20111005,000000,459,459,450,455,181071
SHAPNA,d,20111008,000000,455,455,447,448,42071
SHAPNA,d,20111009,000000,448,450,447,447,116062
SHAPNA,d,20111010,000000,450,454,442,443,204593
SHAPNA,d,20111011,000000,444,451,444,444,235301
SHAPNA,d,20111012,000000,448,454,444,444,318932
SHAPNA,d,20111015,000000,454,454,445,445,78468
SHAPNA,d,20111016,000000,444,445,434,438,298084
SHAPNA,d,20111017,000000,436,439,433,433,137033
SHAPNA,d,20111018,000000,436,448,433,434,187378
SHAPNA,d,20111019,000000,434,441,434,440,367929
SHAPNA,d,20111022,000000,439,445,435,439,445094
SHAPNA,d,20111023,000000,438,438,435,435,255639
SHAPNA,d,20111024,000000,435,440,434,440,610216
SHAPNA,d,20111025,000000,439,440,436,439,523349
SHAPNA,d,20111026,000000,444,445,438,439,160246
SHAPNA,d,20111029,000000,439,439,434,439,135882
SHAPNA,d,20111030,000000,435,439,435,439,220949
SHAPNA,d,20111031,000000,438,440,438,439,123088
SHAPNA,d,20111101,000000,439,439,437,439,272334
SHAPNA,d,20111102,000000,439,447,439,439,93293
SHAPNA,d,20111105,000000,441,441,439,439,87100
SHAPNA,d,20111106,000000,438,439,434,436,298023
SHAPNA,d,20111108,000000,436,436,430,434,415244
SHAPNA,d,20111109,000000,431,441,431,435,161833
SHAPNA,d,20111112,000000,434,439,434,439,158698
SHAPNA,d,20111113,000000,435,439,435,439,62760
SHAPNA,d,20111114,000000,436,439,436,436,46537
SHAPNA,d,20111116,000000,436,439,429,439,162754
SHAPNA,d,20111119,000000,437,440,437,437,14245
SHAPNA,d,20111120,000000,435,435,430,434,236862
SHAPNA,d,20111121,000000,434,437,434,434,139919
SHAPNA,d,20111122,000000,431,431,427,429,719089
SHAPNA,d,20111123,000000,429,429,424,424,578501
SHAPNA,d,20111126,000000,418,427,418,420,188987
SHAPNA,d,20111127,000000,418,419,418,418,616844
SHAPNA,d,20111128,000000,416,419,416,418,87862
SHAPNA,d,20111129,000000,419,420,410,413,340393
SHAPNA,d,20111130,000000,413,421,413,418,79322
SHAPNA,d,20111203,000000,414,418,414,418,58435
SHAPNA,d,20111204,000000,419,439,419,432,94103
SHAPNA,d,20111207,000000,434,438,434,437,622336
SHAPNA,d,20111210,000000,439,439,434,434,531224
SHAPNA,d,20111211,000000,431,438,424,429,114537
SHAPNA,d,20111212,000000,426,429,425,425,65142
SHAPNA,d,20111213,000000,429,429,425,429,448729
SHAPNA,d,20111214,000000,425,431,425,429,108520
SHAPNA,d,20111217,000000,429,434,429,430,50367
SHAPNA,d,20111218,000000,426,432,426,426,182952
SHAPNA,d,20111219,000000,430,430,418,418,63742
SHAPNA,d,20111220,000000,419,428,419,428,115687
SHAPNA,d,20111221,000000,419,420,419,419,325934
SHAPNA,d,20111224,000000,418,423,418,423,61511
SHAPNA,d,20111225,000000,423,424,421,424,20482
SHAPNA,d,20111226,000000,424,424,423,423,100092
SHAPNA,d,20111227,000000,423,424,423,423,77615
SHAPNA,d,20111228,000000,412,424,412,423,149885
SHAPNA,d,20111231,000000,418,419,418,419,21210
SHAPNA,d,20120101,000000,426,429,422,422,342182
SHAPNA,d,20120102,000000,427,429,423,423,77711
SHAPNA,d,20120103,000000,428,434,426,429,680906
SHAPNA,d,20120104,000000,429,438,429,431,195101
SHAPNA,d,20120107,000000,429,432,418,425,125503
SHAPNA,d,20120108,000000,423,427,421,421,35965
SHAPNA,d,20120109,000000,428,434,423,426,299076
SHAPNA,d,20120110,000000,433,445,433,445,1504763
SHAPNA,d,20120111,000000,459,460,450,460,1540802
SHAPNA,d,20120115,000000,476,476,467,476,521357
SHAPNA,d,20120116,000000,481,481,481,481,56450
SHAPNA,d,20120117,000000,482,482,461,482,5352829
SHAPNA,d,20120118,000000,492,501,481,501,2155148
SHAPNA,d,20120121,000000,514,519,513,519,1884088
SHAPNA,d,20120123,000000,534,539,520,539,7105674
SHAPNA,d,20120125,000000,537,555,520,540,2444026
SHAPNA,d,20120128,000000,536,546,524,546,4267787
SHAPNA,d,20120129,000000,514,555,514,551,1800569
SHAPNA,d,20120130,000000,543,554,530,536,1519612
SHAPNA,d,20120131,000000,533,536,527,530,599800
SHAPNA,d,20120201,000000,525,533,525,528,390083
SHAPNA,d,20120204,000000,535,536,526,529,161596
SHAPNA,d,20120205,000000,526,527,521,527,490762
SHAPNA,d,20120206,000000,519,527,519,525,594080
SHAPNA,d,20120207,000000,521,525,521,525,208582
SHAPNA,d,20120208,000000,525,525,521,525,423525
SHAPNA,d,20120212,000000,523,526,523,525,315591
SHAPNA,d,20120213,000000,526,526,515,526,738458
SHAPNA,d,20120214,000000,526,526,521,525,627918
SHAPNA,d,20120215,000000,521,525,519,525,1123302
SHAPNA,d,20120218,000000,525,525,520,525,238691
SHAPNA,d,20120219,000000,525,529,520,525,263031
SHAPNA,d,20120220,000000,525,530,525,527,52435
SHAPNA,d,20120221,000000,530,530,520,525,288969
SHAPNA,d,20120222,000000,530,530,521,525,192001
SHAPNA,d,20120225,000000,528,528,507,525,296416
SHAPNA,d,20120303,000000,544,544,544,544,13352
SHAPNA,d,20120304,000000,545,545,545,545,1606295
SHAPNA,d,20120305,000000,566,566,566,566,1663138
SHAPNA,d,20120306,000000,588,588,567,572,7488327
SHAPNA,d,20120307,000000,573,578,568,573,437027
SHAPNA,d,20120310,000000,565,575,564,564,210448
SHAPNA,d,20120311,000000,568,569,561,564,399258
SHAPNA,d,20120312,000000,556,556,554,554,451883
SHAPNA,d,20120313,000000,554,564,548,553,95556
SHAPNA,d,20120314,000000,554,589,554,574,564654
SHAPNA,d,20120317,000000,585,594,579,594,1554887
SHAPNA,d,20120318,000000,587,612,587,612,779683
SHAPNA,d,20120324,000000,611,621,611,621,665333
SHAPNA,d,20120325,000000,621,621,585,600,258738
SHAPNA,d,20120326,000000,600,600,581,589,372152
SHAPNA,d,20120327,000000,600,603,584,595,296061
SHAPNA,d,20120328,000000,585,589,575,579,1384192
SHAPNA,d,20120402,000000,588,588,575,580,64475
SHAPNA,d,20120403,000000,579,579,565,568,122555
SHAPNA,d,20120404,000000,582,582,558,568,423362
SHAPNA,d,20120407,000000,579,584,560,573,286427
SHAPNA,d,20120408,000000,572,601,572,588,2468529
SHAPNA,d,20120409,000000,579,600,579,586,356349
SHAPNA,d,20120410,000000,593,593,580,586,49864
SHAPNA,d,20120411,000000,589,598,583,590,226865
SHAPNA,d,20120414,000000,595,595,585,585,245691
SHAPNA,d,20120415,000000,598,611,584,595,478135
SHAPNA,d,20120416,000000,594,594,577,579,356339
SHAPNA,d,20120417,000000,576,589,576,589,251885
SHAPNA,d,20120418,000000,595,600,589,596,454706
SHAPNA,d,20120421,000000,589,602,579,589,276101
SHAPNA,d,20120422,000000,589,589,575,589,142062
SHAPNA,d,20120423,000000,614,614,600,608,2040519
SHAPNA,d,20120424,000000,609,609,597,601,85030
SHAPNA,d,20120428,000000,600,600,587,587,1143722
SHAPNA,d,20120429,000000,574,584,574,584,42018
SHAPNA,d,20120430,000000,584,598,583,598,199371
SHAPNA,d,20120501,000000,589,596,583,596,112940
SHAPNA,d,20120502,000000,589,589,589,589,61474
SHAPNA,d,20120505,000000,592,592,572,584,103778
SHAPNA,d,20120506,000000,575,589,575,589,108405
SHAPNA,d,20120507,000000,579,600,573,589,204331
SHAPNA,d,20120508,000000,590,598,590,591,174331
SHAPNA,d,20120509,000000,589,589,579,584,107351
SHAPNA,d,20120512,000000,579,587,577,583,213372
SHAPNA,d,20120513,000000,589,589,569,589,59923
SHAPNA,d,20120514,000000,584,584,576,577,95259
SHAPNA,d,20120515,000000,587,587,573,573,139254
SHAPNA,d,20120516,000000,589,589,579,579,35809
SHAPNA,d,20130209,000000,1986,2066,1974,2015,12784782
SHAPNA,d,20130211,000000,1999,2074,1938,2028,3958577
SHAPNA,d,20130212,000000,2100,2100,2053,2100,16260281
SHAPNA,d,20130213,000000,2184,2184,2167,2184,5921965
SHAPNA,d,20130216,000000,2271,2271,2271,2271,1689522
SHAPNA,d,20130217,000000,2362,2362,2301,2361,24833515
SHAPNA,d,20130218,000000,2370,2450,2359,2370,5746166
SHAPNA,d,20130219,000000,2371,2371,2308,2308,5578818
SHAPNA,d,20130220,000000,2290,2406,2288,2371,7135644
SHAPNA,d,20130223,000000,2365,2460,2356,2460,15389779
SHAPNA,d,20130224,000000,2468,2550,2355,2359,9535704
SHAPNA,d,20130225,000000,2365,2388,2365,2365,2168631
SHAPNA,d,20130311,000000,2528,2528,2438,2456,6924681
SHAPNA,d,20130312,000000,2432,2504,2386,2456,4110315
SHAPNA,d,20130313,000000,2516,2546,2480,2492,13603025
SHAPNA,d,20130316,000000,2480,2492,2422,2422,1931229
SHAPNA,d,20130317,000000,2341,2408,2341,2395,24844123
SHAPNA,d,20130318,000000,2382,2449,2377,2449,59226130
SHAPNA,d,20130325,000000,2517,2517,2517,2517,1664903
SHAPNA,d,20130326,000000,2617,2617,2617,2617,1664903
SHAPNA,d,20130327,000000,2722,2722,2660,2722,14316262
SHAPNA,d,20130330,000000,2719,2757,2624,2748,3648537
SHAPNA,d,20130331,000000,2757,2805,2709,2764,4797329
SHAPNA,d,20130403,000000,2769,2871,2733,2813,2309956
SHAPNA,d,20130406,000000,2769,2871,2745,2752,2066108
SHAPNA,d,20130407,000000,2769,2781,2685,2753,2754581
SHAPNA,d,20130408,000000,2769,2844,2769,2844,13864380
SHAPNA,d,20130409,000000,2924,2949,2881,2881,7329962
SHAPNA,d,20130410,000000,2793,2886,2793,2813,3891934
SHAPNA,d,20130413,000000,2793,2793,2737,2781,3258549
SHAPNA,d,20130415,000000,2753,2839,2697,2818,3521299
SHAPNA,d,20130416,000000,2829,2919,2799,2919,16405678
SHAPNA,d,20130417,000000,2937,2997,2868,2889,6996965
SHAPNA,d,20130420,000000,2998,3022,2951,3021,9985777
SHAPNA,d,20130421,000000,3040,3057,2925,2957,2580172
SHAPNA,d,20130422,000000,3010,3026,2969,2989,6288342
SHAPNA,d,20130423,000000,2998,3038,2913,2998,7798990
SHAPNA,d,20130424,000000,3010,3106,3010,3106,6650700
SHAPNA,d,20130427,000000,3218,3218,3218,3218,3950800
SHAPNA,d,20130428,000000,3347,3347,3250,3347,14052374
SHAPNA,d,20130430,000000,3612,3612,3467,3467,9466752
SHAPNA,d,20130501,000000,3491,3638,3491,3638,13020449
SHAPNA,d,20130504,000000,3768,3772,3483,3503,9505015
SHAPNA,d,20130505,000000,3551,3551,3509,3509,5880508
SHAPNA,d,20130506,000000,3496,3563,3372,3372,7947055
SHAPNA,d,20130507,000000,3407,3407,3297,3297,1431735
SHAPNA,d,20130508,000000,3199,3199,3199,3199,264613
SHAPNA,d,20130511,000000,3244,3444,3190,3444,4233575
SHAPNA,d,20130512,000000,3491,3491,3222,3262,10358647
SHAPNA,d,20130513,000000,3216,3250,3216,3216,2056379
SHAPNA,d,20130514,000000,3087,3087,3087,3087,3737578
SHAPNA,d,20130515,000000,3010,3211,2964,2985,9294694
SHAPNA,d,20130518,000000,2973,3009,2921,2921,951715
SHAPNA,d,20130519,000000,2861,3070,2861,3022,7046453
SHAPNA,d,20130520,000000,2998,3021,2973,3021,4012964
SHAPNA,d,20130521,000000,3094,3125,2937,2947,4581276
SHAPNA,d,20130522,000000,2908,3046,2902,3016,2681858
SHAPNA,d,20130525,000000,3028,3078,2998,3078,1473386
SHAPNA,d,20130526,000000,3185,3185,3185,3185,2506522
SHAPNA,d,20130527,000000,3214,3250,3113,3166,6244853
SHAPNA,d,20130528,000000,3166,3235,3130,3157,2496909
SHAPNA,d,20130529,000000,3190,3207,3142,3160,2609326
SHAPNA,d,20130601,000000,3178,3178,3042,3070,3608827
SHAPNA,d,20130602,000000,3052,3166,3046,3094,1283583
SHAPNA,d,20130603,000000,3070,3205,3010,3078,2929283
SHAPNA,d,20130608,000000,3046,3070,3010,3010,1489642
SHAPNA,d,20130609,000000,2974,3045,2974,2992,1756933
SHAPNA,d,20130610,000000,2955,3075,2955,3058,1191515
SHAPNA,d,20130611,000000,3111,3131,3070,3124,1669808
SHAPNA,d,20130612,000000,3046,3106,3034,3064,1797589
SHAPNA,d,20130615,000000,3154,3178,3142,3178,2240983
SHAPNA,d,20130616,000000,3304,3304,3193,3303,4608847
SHAPNA,d,20130617,000000,3335,3335,3250,3277,2725757
SHAPNA,d,20130618,000000,3303,3427,3303,3427,5043790
SHAPNA,d,20130619,000000,3539,3539,3431,3446,1667679
SHAPNA,d,20130622,000000,3479,3480,3316,3316,1694187
SHAPNA,d,20130623,000000,3250,3395,3250,3286,1532190
SHAPNA,d,20130625,000000,3335,3370,3274,3328,692025
SHAPNA,d,20130626,000000,3418,3450,3416,3450,1727368
SHAPNA,d,20130629,000000,3583,3583,3485,3491,8161353
SHAPNA,d,20130630,000000,3483,3606,3456,3533,5451244
SHAPNA,d,20130701,000000,3575,3575,3467,3468,2816501
SHAPNA,d,20130702,000000,3491,3491,3419,3430,2002523
SHAPNA,d,20130703,000000,3483,3579,3444,3479,5240575
SHAPNA,d,20130706,000000,3588,3648,3563,3611,4909269
SHAPNA,d,20130909,000000,3430,3430,3340,3378,4648613
SHAPNA,d,20130910,000000,3531,3531,3510,3531,2087670
SHAPNA,d,20130911,000000,3670,3670,3586,3606,5950946
SHAPNA,d,20130914,000000,3648,3648,3502,3578,3254649
SHAPNA,d,20130915,000000,3559,3591,3404,3417,2320311
SHAPNA,d,20130916,000000,3467,3546,3398,3495,1924778
SHAPNA,d,20130917,000000,3527,3596,3404,3426,2076609
SHAPNA,d,20130918,000000,3520,3520,3404,3417,5460362
SHAPNA,d,20130921,000000,3467,3469,3391,3456,3721768
SHAPNA,d,20130922,000000,3295,3417,3295,3404,3477810
SHAPNA,d,20130923,000000,3417,3515,3380,3515,6129321
SHAPNA,d,20130924,000000,3585,3585,3456,3475,2001347
SHAPNA,d,20130925,000000,3526,3533,3488,3510,2882814
SHAPNA,d,20130928,000000,3598,3617,3553,3572,2097338
SHAPNA,d,20130929,000000,3611,3737,3585,3737,11009333
SHAPNA,d,20130930,000000,3856,3863,3762,3856,10024926
SHAPNA,d,20131001,000000,3929,3978,3836,3933,4491861
SHAPNA,d,20131002,000000,3907,4036,3869,3907,4220881
SHAPNA,d,20131005,000000,3982,4075,3908,4023,3963744
SHAPNA,d,20131006,000000,4154,4154,3998,4021,4336748
SHAPNA,d,20131007,000000,3923,3985,3918,3959,2626534
SHAPNA,d,20131008,000000,4018,4097,3811,3865,6011318
SHAPNA,d,20131009,000000,3946,4035,3865,3984,4155851
SHAPNA,d,20131012,000000,3933,4140,3895,4140,6048853
SHAPNA,d,20131013,000000,4224,4224,4165,4224,2944601
SHAPNA,d,20131014,000000,4392,4392,4392,4392,4004953
SHAPNA,d,20131015,000000,4568,4568,4568,4568,2021440
SHAPNA,d,20131019,000000,4751,4751,4704,4751,23530325
SHAPNA,d,20131020,000000,4560,4707,4560,4560,13341295
SHAPNA,d,20131021,000000,4513,4623,4387,4387,8294777
SHAPNA,d,20131022,000000,4252,4268,4252,4252,1652975
SHAPNA,d,20131023,000000,4085,4359,4083,4307,7218138
SHAPNA,d,20131026,000000,4255,4318,4191,4218,5352843
SHAPNA,d,20131027,000000,4217,4255,4134,4134,2501337
SHAPNA,d,20131028,000000,3998,4217,3982,4013,4243809
SHAPNA,d,20131029,000000,4120,4179,4012,4113,4200170
SHAPNA,d,20131030,000000,4191,4191,4056,4101,2435877
SHAPNA,d,20131102,000000,4081,4081,3946,3998,2152655
SHAPNA,d,20131103,000000,3998,4035,3894,3932,1859604
SHAPNA,d,20131104,000000,3969,3997,3858,3946,2590866
SHAPNA,d,20131105,000000,3998,4078,3982,4078,2783838
SHAPNA,d,20131106,000000,4127,4191,3998,4062,2113701
SHAPNA,d,20131109,000000,4236,4236,3985,3985,1488057
SHAPNA,d,20131110,000000,3911,3997,3879,3879,3834916
SHAPNA,d,20131111,000000,3889,3998,3856,3881,2148948
SHAPNA,d,20131112,000000,3958,3965,3879,3961,2268759
SHAPNA,d,20131116,000000,3959,3998,3869,3888,1877274
SHAPNA,d,20131117,000000,3907,3907,3804,3812,1988616
SHAPNA,d,20131118,000000,3791,3869,3725,3791,2197285
SHAPNA,d,20131119,000000,3798,3934,3798,3934,2720596
SHAPNA,d,20131120,000000,4062,4062,3969,3998,3145129
SHAPNA,d,20131123,000000,4049,4049,3866,3866,4301488
SHAPNA,d,20131124,000000,3868,3868,3725,3739,4042055
SHAPNA,d,20131125,000000,3753,3869,3611,3789,3226586
SHAPNA,d,20131126,000000,3855,3855,3714,3723,1492154
SHAPNA,d,20131127,000000,3638,3740,3611,3636,3085615
SHAPNA,d,20131130,000000,3664,3738,3629,3638,2014404
SHAPNA,d,20131201,000000,3688,3800,3650,3727,2648944
SHAPNA,d,20131202,000000,3798,3865,3694,3811,2144449
SHAPNA,d,20131203,000000,3906,3946,3849,3874,2823917
SHAPNA,d,20131204,000000,3946,3985,3804,3868,1251161
SHAPNA,d,20131207,000000,3946,3946,3766,3817,1428991
SHAPNA,d,20131208,000000,3780,3790,3714,3744,1578225
SHAPNA,d,20131209,000000,3868,3900,3753,3900,2615352
SHAPNA,d,20131210,000000,3991,3991,3791,3791,1951516
SHAPNA,d,20131211,000000,3756,3830,3740,3758,1462608
SHAPNA,d,20131214,000000,3804,3862,3740,3746,1187730
SHAPNA,d,20131215,000000,3753,3868,3753,3785,1530472
SHAPNA,d,20131216,000000,3798,3821,3727,3747,1999617
SHAPNA,d,20131217,000000,3765,3765,3690,3727,1456324
SHAPNA,d,20131218,000000,3726,3743,3688,3742,2575778
SHAPNA,d,20131221,000000,3703,3727,3611,3688,1730979
SHAPNA,d,20131222,000000,3649,3754,3636,3727,842994
SHAPNA,d,20131224,000000,3740,3765,3694,3727,897561
SHAPNA,d,20131225,000000,3740,3741,3653,3656,2580319
SHAPNA,d,20131228,000000,3631,3740,3611,3611,1067686
SHAPNA,d,20131229,000000,3611,3649,3604,3611,1461756
SHAPNA,d,20131230,000000,3611,3688,3611,3688,974230
SHAPNA,d,20140101,000000,3624,3746,3624,3737,987389
SHAPNA,d,20140104,000000,3804,3804,3598,3612,1105464
SHAPNA,d,20140105,000000,3662,3700,3611,3636,692590
SHAPNA,d,20140106,000000,3671,3671,3533,3573,2402574
SHAPNA,d,20140107,000000,3546,3566,3501,3507,2101591
SHAPNA,d,20140108,000000,3495,3636,3464,3609,2023242
SHAPNA,d,20140111,000000,3636,3667,3611,3667,1717647
SHAPNA,d,20140112,000000,3778,3778,3515,3542,43923145
SHAPNA,d,20140113,000000,3611,3636,3546,3604,1139920
SHAPNA,d,20140114,000000,3587,3611,3507,3526,434940
SHAPNA,d,20140115,000000,3533,3533,3469,3482,42023546
SHAPNA,d,20140118,000000,3482,3507,3383,3495,915639
SHAPNA,d,20140120,000000,3482,3482,3404,3418,590181
SHAPNA,d,20140121,000000,3497,3578,3391,3417,41736606
SHAPNA,d,20140122,000000,3399,3532,3353,3415,604743
SHAPNA,d,20140125,000000,3366,3499,3366,3456,1024782
SHAPNA,d,20140126,000000,3568,3568,3353,3386,614282
SHAPNA,d,20140127,000000,3482,3546,3320,3507,42725235
SHAPNA,d,20140128,000000,3559,3630,3527,3549,42630827
SHAPNA,d,20140129,000000,3608,3611,3540,3558,43596921
SHAPNA,d,20140201,000000,3643,3701,3572,3589,2568237
SHAPNA,d,20140202,000000,3649,3649,3471,3471,1043006
SHAPNA,d,20140203,000000,3480,3546,3404,3424,557977
SHAPNA,d,20140204,000000,3505,3559,3404,3546,30351450
SHAPNA,d,20140205,000000,3446,3482,3406,3406,837277
SHAPNA,d,20140208,000000,3355,3355,3340,3340,804199
SHAPNA,d,20140209,000000,3288,3482,3288,3413,885007
SHAPNA,d,20140210,000000,3437,3437,3301,3305,860830
SHAPNA,d,20140212,000000,3301,3301,3256,3256,2916859
SHAPNA,d,20140215,000000,3172,3352,3172,3256,504701
SHAPNA,d,20140216,000000,3277,3386,3263,3296,42348130
SHAPNA,d,20140217,000000,3416,3430,3314,3361,1121958
SHAPNA,d,20140218,000000,3353,3371,3262,3345,41758691
SHAPNA,d,20140219,000000,3378,3478,3353,3442,42992132
SHAPNA,d,20140222,000000,3469,3482,3353,3445,776505
SHAPNA,d,20140223,000000,3391,3404,3333,3352,632277
SHAPNA,d,20140224,000000,3317,3357,3277,3357,1477605
SHAPNA,d,20140225,000000,3277,3277,3211,3260,513369
SHAPNA,d,20140226,000000,3286,3433,3179,3433,4516246
SHAPNA,d,20140301,000000,3549,3558,3482,3537,45777162
SHAPNA,d,20140302,000000,3598,3598,3443,3519,42753279
SHAPNA,d,20140303,000000,3456,3456,3378,3386,953749
SHAPNA,d,20140304,000000,3378,3486,3353,3442,1015219
SHAPNA,d,20140305,000000,3432,3572,3432,3500,1120261
SHAPNA,d,20140308,000000,3546,3572,3468,3514,1011520
SHAPNA,d,20140309,000000,3517,3517,3430,3481,41818928
SHAPNA,d,20140310,000000,3458,3491,3455,3482,7085296
SHAPNA,d,20150317,000000,1131,1176,1131,1176,8415121
SHAPNA,d,20150318,000000,1201,1201,1201,1201,1411847
SHAPNA,d,20150325,000000,1223,1223,1223,1223,1503175
SHAPNA,d,20150328,000000,1247,1247,1247,1247,56174
SHAPNA,d,20150329,000000,1248,1248,1248,1248,1407289
SHAPNA,d,20150330,000000,1271,1271,1271,1271,1928599
SHAPNA,d,20150331,000000,1304,1304,1304,1304,1265893
SHAPNA,d,20150404,000000,1326,1326,1326,1326,11143
SHAPNA,d,20150405,000000,1377,1432,1377,1432,219155
SHAPNA,d,20150406,000000,1490,1490,1490,1490,110141
SHAPNA,d,20150407,000000,1492,1492,1492,1492,2061
SHAPNA,d,20150408,000000,1492,1492,1492,1492,19046
SHAPNA,d,20150411,000000,1493,1493,1493,1493,67009
SHAPNA,d,20150412,000000,1494,1494,1494,1494,17965
SHAPNA,d,20150413,000000,1552,1614,1552,1614,45313
SHAPNA,d,20150414,000000,1678,1678,1678,1678,52037
SHAPNA,d,20150415,000000,1679,1679,1679,1679,9299
SHAPNA,d,20150418,000000,1679,1679,1679,1679,1240038
SHAPNA,d,20150419,000000,1717,1717,1717,1717,1895494
SHAPNA,d,20150420,000000,1776,1776,1776,1776,2965781
SHAPNA,d,20150422,000000,2046,2109,1964,2019,78427067
SHAPNA,d,20150425,000000,2053,2080,2019,2079,23146343
SHAPNA,d,20150426,000000,2066,2066,1985,1985,7458728
SHAPNA,d,20150427,000000,1929,1929,1929,1929,1372445
SHAPNA,d,20150428,000000,1870,1902,1870,1870,17405588
SHAPNA,d,20150429,000000,1859,1928,1838,1866,4704629
SHAPNA,d,20150503,000000,1898,1898,1802,1809,4862711
SHAPNA,d,20150504,000000,1816,1816,1747,1747,6231130
SHAPNA,d,20150505,000000,1734,1787,1682,1685,4655010
SHAPNA,d,20150506,000000,1685,1698,1643,1655,3736754
SHAPNA,d,20150509,000000,1662,1691,1593,1594,3988712
SHAPNA,d,20150510,000000,1608,1608,1548,1549,4960255
SHAPNA,d,20150511,000000,1575,1627,1552,1627,2479723
SHAPNA,d,20150512,000000,1676,1678,1669,1678,1035696
SHAPNA,d,20150513,000000,1709,1709,1709,1709,2128113
SHAPNA,d,20150517,000000,1733,1737,1653,1715,6493212
SHAPNA,d,20150518,000000,1715,1726,1648,1663,1124226
SHAPNA,d,20150519,000000,1662,1713,1658,1683,1948168
SHAPNA,d,20150520,000000,1669,1716,1666,1694,1417124
SHAPNA,d,20150523,000000,1702,1702,1630,1662,1470695
SHAPNA,d,20150524,000000,1671,1690,1644,1662,1520883
SHAPNA,d,20150525,000000,1691,1748,1691,1722,101642925
SHAPNA,d,20150526,000000,1744,1766,1717,1741,6552078
SHAPNA,d,20150527,000000,1751,1751,1719,1736,1397989
SHAPNA,d,20150530,000000,1734,1783,1719,1737,3831559
SHAPNA,d,20150531,000000,1734,1760,1716,1722,2003486
SHAPNA,d,20150601,000000,1716,1751,1698,1751,1614779
SHAPNA,d,20150602,000000,1751,1755,1709,1754,1372931
SHAPNA,d,20150606,000000,1720,1755,1720,1727,1030135
SHAPNA,d,20150607,000000,1716,1755,1709,1717,1237629
SHAPNA,d,20150608,000000,1733,1742,1696,1707,817975
